"mom_id","date","crude_petroluem_natural_gas","Petrol","natural_gas","coking_coal","non_coking_coal","Bitumen","crude_petroluem","LPG","Kerosene","electricity","Lignite","coal_total","petroluem_coke","WPI"
"2019-Nov","2019-11-01",183.06,129.65,56.01,91.81,165.39,19.7,128.39,47.71,30.61,346.05,10.9,71.95,6.09,67.58
"2019-Oct","2019-10-01",176.25,130.25,55.28,91.81,165.39,20.5,122.27,42.54,30.66,346.05,10.9,72.15,6.24,67.51
"2019-Sep","2019-09-01",187.32,127.98,60.61,88.32,165.39,18.81,128.05,41.85,29.9,346.05,10.8,70.83,6.21,67.14
"2020-Apr","2020-04-01",106.22,100.94,50.25,91.81,165.39,15.94,57.65,51.65,20.64,358.32,10.9,71.01,5.43,66.02
"2020-Aug","2020-08-01",153.69,110.76,49.3,91.62,165.39,16.07,105.6,43.06,21.46,325.28,10.9,70.99,5.5,67.75
"2020-Dec","2020-12-01",157.73,114.84,41.57,91.81,166.5,18.43,116.82,49.57,21.23,367.75,10.9,71.91,6.65,69.35
"2020-Feb","2020-02-01",173.06,127.83,56.01,91.81,165.39,18.32,118.35,57.28,31.92,366.81,10.9,71.6,4.93,67.4
"2020-Jan","2020-01-01",184.98,132.21,55.92,91.81,165.39,17.54,130.26,49.86,31.61,370.9,10.9,71.41,4.65,68.11
"2020-Jul","2020-07-01",151.13,110.3,49.3,91.62,165.39,16.54,103.05,43.06,19.79,317.73,10.9,71.11,4.89,67.18
"2020-Jun","2020-06-01",144.11,100.33,49.9,91.62,165.39,14.34,95.57,42.83,11.19,317.73,10.9,70.56,4.86,66.23
"2020-Mar","2020-03-01",137.72,121.03,58.16,91.81,165.39,18.3,81.45,55.78,30.3,358.32,10.9,71.6,5.28,66.42
"2020-May","2020-05-01",123.03,92.93,49.86,91.62,165.39,13.83,74.65,37.9,9.74,330.32,10.9,70.43,5.3,65.35
"2020-Nov","2020-11-01",143.68,110.61,41.65,91.81,165.39,15.23,102.88,46.26,19.8,369.33,10.9,70.83,6.64,69.34
"2020-Oct","2020-10-01",135.81,111.36,41.31,91.68,165.39,15.1,95.4,43.82,18.75,331.26,10.9,70.77,6.2,68.68
"2020-Sep","2020-09-01",143.47,112.12,48.62,91.62,165.39,16.16,96.08,43.18,20.87,331.26,10.9,71.02,5.94,68.27
"2021-Apr","2021-04-01",192.0,147.78,41.09,91.81,166.5,23.28,151.17,62.74,30.91,349.51,11.48,73.27,8.02,72.77
"2021-Aug","2021-08-01",206.69,178.9,41.69,92.78,166.5,22.81,165.12,63.78,36.34,334.72,11.48,73.39,9.45,75.17
"2021-Dec","2021-12-01",232.66,201.12,56.65,92.78,166.5,27.7,176.85,79.45,42.45,425.64,17.68,76.16,12.46,78.83
"2021-Feb","2021-02-01",182.21,134.18,41.05,91.81,166.5,22.54,141.48,58.1,26.89,369.96,10.8,72.91,7.17,70.63
"2021-Jan","2021-01-01",167.52,122.54,41.14,91.81,166.5,21.08,126.86,51.19,24.81,367.75,10.9,72.57,6.76,69.82
"2021-Jul","2021-07-01",214.99,175.43,41.48,92.2,166.5,22.14,173.62,59.49,35.08,308.93,11.48,73.08,8.48,74.52
"2021-Jun","2021-06-01",211.8,160.47,41.26,91.81,166.5,23.5,170.56,56.3,33.39,308.93,11.48,73.32,8.2,73.78
"2021-Mar","2021-03-01",190.72,147.32,40.92,91.81,166.5,22.45,149.98,61.81,29.63,349.51,10.8,72.89,7.72,71.51
"2021-May","2021-05-01",196.26,153.22,41.18,91.81,166.5,23.99,155.43,60.82,31.03,330.95,11.48,73.45,8.22,73.38
"2021-Nov","2021-11-01",245.86,209.88,56.83,92.78,166.5,28.12,189.78,77.08,43.59,413.68,16.67,76.02,12.74,78.99
