"mom_id","date","spices","eggs_meat_fish","food_grains","Sugar","wpi"
"2022-Sep","2022-09-01",26.71,388.83,589.4,127.36,83.38
"2023-Apr","2023-04-01",27.37,388.38,606.91,130.11,82.74
"2023-Aug","2023-08-01",28.84,395.87,628.05,132.96,84.07
"2023-Feb","2023-02-01",26.89,385.43,612.52,127.87,82.56
"2023-Jan","2023-01-01",27.4,385.88,617.81,127.87,82.45
"2023-Jul","2023-07-01",28.75,400.64,618.8,131.74,83.91
"2023-Jun","2023-06-01",28.57,408.58,611.86,131.64,81.88
"2023-Mar","2023-03-01",27.65,390.2,604.59,127.05,82.59
"2023-May","2023-05-01",27.94,402.23,605.26,130.62,82.1
"2023-Oct","2023-10-01",29.09,390.2,652.17,137.65,83.72
"2023-Sep","2023-09-01",29.57,395.42,641.6,135.1,83.4
